# Cosmological parameters
# z 0.698
# name challenge
# H0 67.6
# Omega_k 0.0
# Omega_b 0.048142572038794164
# Omega_c 0.26044573456811737
# Omega_m 0.31000006214536036
# Omega_de 0.6899208700952628
# Omega_nu 0.0014117555384487999
# N_eff 3.0460000000000003
# mass_neutrinos 0.06
# n_s 0.97
# A_s 2.0406217009089533e-09
# H_z 100.45460166117748
# D_A 1517.5344595980187
# D_M 2576.7735123974358
# D_H 2984.357640590399
# D_V 2400.414611059186
# r_drag 147.7846253725727
# DM_rd 17.436005307732493
# DH_rd 20.193965597345997
# DV_rd 16.242654504875702
# sigma8 0.559387924199009
# fsigma_8 0.45618676272046316
# f 0.8155105660775209
# 
# k[h/Mpc]  P_lin(k)
1.7766894970437622e-05    37.10867849509109
1.7906917061186715e-05    37.392323716019014
1.8048042675423193e-05    37.67813691481045
1.8190280510089664e-05    37.966134643311975
1.8333639330669926e-05    38.256333579459906
1.8478127971729135e-05    38.54875052823854
1.862375533745826e-05    38.84340242264269
1.877053040222279e-05    39.14030632465142
1.891846221111578e-05    39.439479426266054
1.9067559880515297e-05    39.74093906190171
1.9217832598646165e-05    40.04470272346381
1.9369289626146244e-05    40.35078804027816
1.952194029663709e-05    40.65921277687895
1.9675794017299166e-05    40.969994834048286
1.9830860269451546e-05    41.28315224986479
1.9987148609136224e-05    41.59870320076075
2.0144668667707002e-05    41.91666600258763
2.0303430152423015e-05    42.237059111688225
2.046344284704697e-05    42.55990112597848
2.0624716612448056e-05    42.88521078603778
2.0787261387209646e-05    43.213006976206785
2.095108718824174e-05    43.54330872441721
2.1116204111398287e-05    43.876135183667095
2.1282622332099337e-05    44.21150563630887
2.1450352105958102e-05    44.54943951122554
2.1619403769412976e-05    44.88995638543015
2.1789787740364513e-05    45.23307598519334
2.1961514518817446e-05    45.57881818717569
2.2134594687527743e-05    45.92720301957489
2.2309038912654782e-05    46.2782506632748
2.2484857944418657e-05    46.63198145300884
2.2662062617762677e-05    46.98841587852895
2.2840663853021055e-05    47.34757458578356
2.3020672656591902e-05    47.70947837810618
2.320210012161547e-05    48.074148219357376
2.3384957428657818e-05    48.441605242309805
2.356925584639978e-05    48.81187074371495
2.3755006732331424e-05    49.18496618297566
2.3942221533451955e-05    49.560913183386376
2.413091178697516e-05    49.93973353338543
2.4321089121040354e-05    50.32144918781377
2.4512765255429037e-05    50.706082269186844
2.470595200228706e-05    51.093655068972076
2.4900661266852594e-05    51.484190048880095
2.5096905048189806e-05    51.87770984216384
2.5294695439928272e-05    52.27423725492632
2.5494044631008287e-05    52.67379526752838
2.5694964906432002e-05    53.07640704148608
2.5897468648020486e-05    53.48209592439353
2.6101568335176775e-05    53.890885443305216
2.630727654565492e-05    54.30279930531122
2.651460595633509e-05    54.717861398920256
2.6723569344004787e-05    55.13609579544883
2.6934179586146267e-05    55.55752675042073
2.714644966173004e-05    55.98217870498038
2.7360392652014793e-05    56.41007628731406
2.7576021741353463e-05    56.841244314083596
2.7793350218005773e-05    57.27570779187106
2.801239147495711e-05    57.71349191863357
2.8233159010743865e-05    58.154622083805634
2.8455666430285313e-05    58.59912385667117
2.867992744572201e-05    59.047022993153654
2.8905955877260796e-05    59.498345445608926
2.9133765654026495e-05    59.95311736443922
2.936337081492032e-05    60.41136509959948
2.9594785509484977e-05    60.87311520212006
2.9828023998776676e-05    61.3383944256374
3.0063100656243963e-05    61.80722972793841
3.0300029968613516e-05    62.279648272515416
3.0538826536782855e-05    62.75567743013405
3.077950507672015e-05    63.235344780411594
3.102208042037113e-05    63.718678113408934
3.1266567516573064e-05    64.20570543240115
3.1512981431976e-05    64.6964549582113
3.1761337351971285e-05    65.19095512790001
3.201165058162735e-05    65.68923459563845
3.22639365466329e-05    66.19132223436519
3.25182107942475e-05    66.69724713745426
3.277448899425974e-05    67.20703862039609
3.303278693995286e-05    67.72072622249478
3.329312054907802e-05    68.2383397085696
3.355550586483523e-05    68.75990907068045
3.381995905686207e-05    69.28546452985879
