# Cosmological parameters
# z 0.56
# name nseries
# H0 70.0
# Omega_k 0.0
# Omega_b 0.047
# Omega_c 0.23900000000000005
# Omega_m 0.2860000000000001
# Omega_de 0.7139146242997069
# Omega_nu 0.0
# N_eff 3.046
# mass_neutrinos 0.0
# n_s 0.96
# A_s 2.14681e-09
# H_z 93.91994797458759
# D_A 1341.4585487050722
# D_M 2092.6753359799127
# D_H 3191.9998303354723
# D_V 1985.5684620953912
# r_drag 147.15240140926014
# DM_rd 14.221142950700246
# DH_rd 21.691795714960065
# DV_rd 13.493279369414637
# sigma8 0.6190097729325262
# fsigma_8 0.4689022847302364
# f 0.7575038476514457
# 
# k[h/Mpc]  P_lin(k)
2.3942221533451955e-05    74.51243969177148
2.413091178697516e-05    75.07608076447366
2.4321089121040354e-05    75.64398516139343
2.4512765255429037e-05    76.21618515339028
2.470595200228706e-05    76.7927132550924
2.4900661266852594e-05    77.37360220976156
2.5096905048189806e-05    77.95888499173687
2.5294695439928272e-05    78.54859482389377
2.5494044631008287e-05    79.14276518014704
2.5694964906432002e-05    79.7414297873477
2.5897468648020486e-05    80.34462262719077
2.6101568335176775e-05    80.95237793814015
2.630727654565492e-05    81.56473021736458
2.651460595633509e-05    82.18171422269394
2.6723569344004787e-05    82.80336497458546
2.6934179586146267e-05    83.42971775810412
2.714644966173004e-05    84.06080812492284
2.7360392652014793e-05    84.6966718962222
2.7576021741353463e-05    85.33734516853995
2.7793350218005773e-05    85.98286431280903
2.801239147495711e-05    86.63326597493035
2.8233159010743865e-05    87.28858707785002
2.8455666430285313e-05    87.94886482365195
2.867992744572201e-05    88.61413669566821
2.8905955877260796e-05    89.28444046060473
2.9133765654026495e-05    89.95981417068087
2.936337081492032e-05    90.64029616578856
2.9594785509484977e-05    91.32592507566744
2.9828023998776676e-05    92.01673982209141
3.0063100656243963e-05    92.71277962095218
3.0300029968613516e-05    93.41408397431664
3.0538826536782855e-05    94.1206926648134
3.077950507672015e-05    94.83264577340132
3.102208042037113e-05    95.54998368334942
3.1266567516573064e-05    96.27274708250647
3.1512981431976e-05    97.00097696559706
3.1761337351971285e-05    97.73471463652442
3.201165058162735e-05    98.4740017107012
