PLATE MJD NEXP SEEING20 SEEING50 SEEING80 CARTID AZ ALT AIRMASS RA DEC SPEC1_R SPEC2_R SPEC1_I SPEC2_I
7383 56749 16 1.48238 1.572 1.6735 13 224.37 69.0647506409 1.05543 168.379146 45.864697 43.6817 40.8874 36.6892 34.3525
7384 56715 16 1.36485 1.48345 1.60008 13 143.145 72.0532500916 1.0638 152.79418 45.953399 46.4189 37.9307 37.7745 30.1921
7385 56710 16 1.3205 1.39287 1.48405 14 145.008 71.9857490845 1.06365 154.723231 46.417651 47.0194 46.59 43.5212 37.3394
7386 56769 12 1.4091 1.47157 1.60957 11 193.25 74.6420004069 1.03497 156.802922 47.493148 34.1029 34.6724 27.9428 28.5467
7387 57038 20 1.3721 1.4549 1.52858 11 162.054 72.0478 1.06172 159.914396 49.144152 41.1728 46.6652 31.1365 34.5732
7388 56783 20 1.43908 1.52566 1.62288 11 212.129 73.0436002808 1.03203 158.00301 45.93647 38.8572 46.2271 35.0691 42.6611
7389 56769 16 1.48717 1.58385 1.69353 10 219.479 68.6773 1.05919 159.783078 47.531046 29.6806 30.0486 26.2784 24.7709
7390 57130 16 1.84197 1.9403 2.06065 10 197.44158625 73.3185745 1.03862 162.720586 48.202462 32.3741 37.9333 29.4795 31.9424
7391 56781 12 1.31343 1.42947 1.5259 12 222.451 70.1283338826 1.05657 161.100704 45.963036 40.7341 39.1033 34.8714 32.5195
7392 56992 16 1.36645 1.51992 1.68093 17 142.628 71.7184989777 1.04405 163.365029 46.308379 41.6735 42.0818 31.6998 32.6922
7393 56749 16 1.57225 1.69142 1.82387 12 190.965 76.067 1.02736 165.984183 46.033259 43.4943 39.923 39.6876 33.8051
7394 57131 12 1.3908 1.45537 1.5415 11 191.365748 74.6157603333 1.0354 168.069226 47.666613 35.1845 38.5607 27.748 31.927
7395 57131 16 1.74645 1.849 1.98193 12 212.80646925 68.440827 1.07803 168.036019 49.77338 32.1645 33.7342 28.3585 29.8371
7396 56809 16 1.47707 1.55475 1.62175 12 228.428 65.2352504425 1.08112 171.200172 46.339009 52.9672 49.6598 38.328 38.3886
7397 57129 16 1.34403 1.41313 1.52983 13 155.31657875 71.598668 1.05431 170.593072 48.87568 49.3104 49.1902 40.3398 36.8359
7398 56781 12 1.16083 1.23967 1.31783 14 224.982 68.7453350423 1.06532 173.921496 45.992121 40.0696 43.1756 32.451 32.7161
7399 57162 12 1.46167 1.53253 1.60857 15 204.310233667 72.7586543333 1.04336 172.936292 47.976407 36.1682 36.43 28.5656 28.7996
7400 57134 12 1.15563 1.2116 1.26543 13 196.554376667 71.7402543333 1.05028 174.238314 49.973373 37.1025 42.9717 33.4018 35.4651
7401 56808 32 2.01749 2.204 2.42849 17 227.288 66.449124958 1.1002 176.574847 46.042502 42.5715 40.6253 32.308 32.77
7402 56810 16 1.5449 1.65017 1.72918 12 223.531 66.2122 1.0751 175.580997 47.664669 46.2211 49.6412 36.4378 40.8217
7403 57071 24 1.47483 1.61322 1.77982 15 193.481050354 71.0829901984 1.13838 176.820807 49.414713 48.9877 55.185 43.6211 44.3215
7404 56776 28 2.04159 2.20111 2.39324 14 205.207 72.9408567418 1.02996 178.516565 46.60711 37.2414 38.6683 28.1082 32.6424
7405 57134 16 1.3815 1.4251 1.47435 12 152.2497965 71.26702775 1.06624 178.622211 48.490548 45.6324 44.1744 40.2723 38.2634
7406 56805 24 2.06593 2.2185 2.36815 10 202.411 67.0076667684 1.09157 203.038386 47.666872 43.2023 41.27 34.4643 33.2503
7407 56772 16 1.41165 1.47905 1.58412 17 211.551 73.670249588 1.05005 202.740306 45.955977 48.3865 49.8486 41.2042 41.2676
7408 56780 24 1.71068 1.82588 1.95312 17 220.547 70.6176661275 1.0424 199.901545 45.994219 47.4888 47.89 37.0398 36.3678
7409 56809 12 1.48937 1.55717 1.6484 10 214.399 70.3616661174 1.05597 200.423759 47.892576 51.813 51.6334 41.9835 39.4266
7410 57104 16 1.4204 1.51835 1.62857 14 224.58895125 62.2289085 1.12607 196.454368 49.254726 44.4631 47.8961 33.8446 36.719
7411 56776 24 1.52772 1.63653 1.74887 17 194.66 71.3258337606 1.04509 197.971204 47.402476 45.7568 42.2753 36.39 34.154
7412 57162 16 1.45422 1.54562 1.66448 14 198.339436 70.67948025 1.04586 194.027826 49.808751 41.6649 42.8636 33.6815 33.149
7413 56769 16 1.49798 1.58538 1.69133 12 202.334 73.8767498169 1.03447 195.290174 47.075776 42.902 41.9619 38.6788 35.8565
7414 56748 12 1.18193 1.24983 1.3151 14 217.985 71.9586666667 1.04599 196.925094 45.937479 46.339 46.0879 37.7062 35.2946
7415 57097 20 1.42948 1.51852 1.6376 14 218.5467256 66.0140188 1.07044 191.047785 49.30607 53.2264 53.1945 42.1648 44.1058
7416 56810 12 1.32113 1.3935 1.47373 13 223.473 66.3119992472 1.08333 192.979436 47.752819 45.6358 41.6566 38.6071 32.732
7417 56753 20 1.6131 1.70604 1.82006 16 214.274 68.3906 1.11187 193.334119 45.935918 53.1465 49.6835 43.6677 39.6388
7418 57165 24 1.64797 1.7523 1.88048 13 199.687031167 70.0164121667 1.06251 187.639912 49.725515 35.1232 35.8104 26.0672 28.0289
7419 56811 20 1.6247 1.70006 1.80362 12 210.013 71.3134012573 1.04145 189.313259 47.771121 36.5586 36.1522 29.4702 27.9543
7420 56753 12 1.21833 1.27317 1.3763 14 220.515 70.6710005493 1.05332 190.773123 46.158188 32.2865 30.6328 26.8134 25.434
7421 57159 12 1.45947 1.54087 1.62687 13 219.455449333 68.444502 1.06812 186.363437 47.833468 32.8835 34.9846 27.2959 28.0097
7422 56799 12 1.40587 1.4684 1.55747 11 178.737 76.2843 1.03405 188.123359 46.058978 32.6441 30.5137 26.5916 23.3248
7423 57135 12 1.27943 1.35313 1.40007 12 190.137506667 72.738042 1.04547 182.163802 49.609634 35.0367 37.5864 29.0493 31.7284
7424 57160 12 1.20133 1.23897 1.27937 15 166.329817333 73.9212346667 1.04251 184.197795 48.177946 45.5555 43.2189 37.7771 35.2383
7425 56777 32 2.22025 2.36965 2.54149 14 187.248 74.929250061 1.03505 185.500902 46.015259 33.2551 36.4831 26.1204 28.3199
7426 56771 40 2.30907 2.49005 2.72364 14 194.171 71.6900002136 1.04329 181.423334 47.716243 40.1588 40.8973 36.9653 37.8814
7427 56751 20 1.78994 1.91776 2.04138 13 217.64 69.0556002197 1.06749 182.840195 46.175698 39.0531 34.3646 30.6433 29.2713
7428 56781 12 1.38753 1.4584 1.53653 10 187.508 76.1573337606 1.02864 208.26615 46.320041 49.4536 49.1227 40.9261 38.3114
7429 56740 16 1.2947 1.37507 1.49992 16 218.534 67.8537494354 1.15065 205.629168 46.017238 51.2579 47.4555 46.1748 37.8273
7430 57105 12 1.4766 1.54823 1.62827 10 221.636146 63.9656343333 1.10334 206.42405 49.621825 33.0849 40.2073 27.095 31.7875
7431 57162 12 1.4559 1.56037 1.65043 13 162.361378333 73.6600316667 1.04455 206.068329 48.038068 35.48 35.225 28.5131 25.8492
7432 57107 12 1.6654 1.73083 1.8074 10 158.578766 72.4732013333 1.05206 208.681293 48.659801 34.2666 33.6813 28.3176 27.0837
7433 57166 20 1.59482 1.74838 1.94188 16 190.5544762 72.29665 1.04503 199.328305 49.62081 36.7257 37.6241 29.0417 29.1511
7434 57166 12 1.26167 1.32067 1.40277 15 216.182917 67.857426 1.07271 202.894475 49.149625 34.5496 33.8581 25.7847 24.953
